"Date","Open","High","Low","Close"
"11 Dec 2019","17243.7","17347","17149.3","17303.95"
"10 Dec 2019","17388.55","17403.15","17209.85","17237.05"
"09 Dec 2019","17345.8","17452.6","17235.7","17357.45"
"06 Dec 2019","17575.60","17635.25","17303.45","17358.25"
"05 Dec 2019","17720.2","17749.15","17483.15","17527.85"
"04 Dec 2019","17437","17685.9","17380.7","17666.90"
"03 Dec 2019","17643.45","17651.8","17412.85","17466.50"
"02 Dec 2019","17678.30","17690.70","17543.40","17630.25"
"29 Nov 2019","17670.35","17692.00","17542.05","17641.45"
"28 Nov 2019","17600.20","17720.05","17567.00","17698.80"
"27 Nov 2019","17573.60","17615.90","17509.05","17556.45"
"26 Nov 2019","17459.15","17572.20","17361.45","17496.50"
"25 Nov 2019","17121.75","17406.40","17115.40","17390.20"
"22 Nov 2019","17280.70","17284.00","17091.05","17142.65"
"21 Nov 2019","17339.50","17351.20","17208.75","17255.80"
"20 Nov 2019","17191.60","17356.65","17175.55","17296.60"
"19 Nov 2019","17087.85","17232.20","17058.60","17167.45"
"18 Nov 2019","17074.55","17146.00","16993.75","17056.65"
"15 Nov 2019","17073.30","17178.10","17038.60","17065.70"
"14 Nov 2019","16950.60","17037.35","16813.90","17014.40"
"13 Nov 2019","17218.25","17277.35","16884.90","16915.65"
"11 Nov 2019","16954.70","17273.35","16930.70","17220.00"
"08 Nov 2019","16846.20","17194.40","16809.70","16996.25"
"07 Nov 2019","16897.20","16958.05","16775.90","16876.20"
"06 Nov 2019","16590.20","16887.10","16487.40","16833.70"
"05 Nov 2019","16762.75","16784.20","16528.30","16584.20"
"04 Nov 2019","16746.50","16875.15","16657.00","16710.05"
"01 Nov 2019","16638.75","16774.75","16554","16730.15"
"31 Oct 2019","16679.35","16771.20","16505.50","16561.00"
"30 Oct 2019","16670.95","16719.30","16516.20","16596.35"
"29 Oct 2019","16364.45","16662.95","16277.15","16605.30"
"27 Oct 2019","16387.95","16419.05","16325.95","16359.90"
"25 Oct 2019","16275.00","16309.45","16069.85","16280.45"
"24 Oct 2019","16462.75","16514.20","16141.75","16218.45"
"23 Oct 2019","16427.45","16482.75","16250.30","16377.50"
"22 Oct 2019","16412.20","16551.85","16306.70","16402.40"
"18 Oct 2019","16180.70","16339.95","16126.95","16254.80"
"17 Oct 2019","15962.85","16238.20","15907.95","16204.20"
"16 Oct 2019","16001.00","16043.05","15794.95","15932.20"
"15 Oct 2019","15767.00","16006.40","15715.00","15927.75"
"14 Oct 2019","15750.40","15929.80","15630.75","15722.90"
"11 Oct 2019","15763.00","15951.40","15464.85","15639.65"
"10 Oct 2019","15970.80","15978.00","15587.10","15640.55"
"09 Oct 2019","15626.70","16148.85","15528.60","16095.00"
"07 Oct 2019","15622.95","15760.00","15418.40","15554.90"
"04 Oct 2019","16009.40","16045.30","15470.25","15517.70"
"03 Oct 2019","15976.35","16044.45","15761.35","15867.50"
"01 Oct 2019","16314.60","16476.60","15638.05","16030.00"
"30 Sep 2019","16598.70","16634.65","16150.05","16252.30"
"27 Sep 2019","16809.35","16860.45","16646.45","16711.50"
"26 Sep 2019","16601.00","17208.95","16593.60","16835.00"
"25 Sep 2019","16736.95","16761.20","16495.15","16576.85"
"24 Sep 2019","16890.00","17023.60","16602.95","16799.50"
"23 Sep 2019","16645.8","17118.5","16546.95","16960.60"
"20 Sep 2019","14893.65","16297.45","14822.05","16050.75"
"19 Sep 2019","15100.60","15100.60","14756.10","14824.90"
"18 Sep 2019","15197.65","15255.45","15049.15","15096.50"
"17 Sep 2019","15443.70","15493.40","15060.80","15107.25"
"16 Sep 2019","15492.10","15605.25","15445.65","15499.60"
"13 Sep 2019","15456.30","15637.20","15342.35","15621.05"
"12 Sep 2019","15517.65","15631.75","15430.40","15465.20"
"11 Sep 2019","15389.15","15497.40","15337.05","15463.70"
"09 Sep 2019","15156.25","15336.55","15020.35","15309.00"
"06 Sep 2019","14991.75","15190.35","14964.30","15161.10"
"05 Sep 2019","15044.90","15140.25","14894.50","14950.55"
"04 Sep 2019","14914.85","15153.85","14811.70","15063.50"
"03 Sep 2019","15197.05","15212.05","14903.55","14950.95"
"30 Aug 2019","15251.85","15353.00","15089.50","15309.20"
"29 Aug 2019","15372.35","15391.05","15128.80","15191.00"
"28 Aug 2019","15622.00","15631.85","15334.55","15434.00"
"27 Aug 2019","15654.45","15760.10","15563.35","15654.75"
"26 Aug 2019","15366.85","15594.95","14934.20","15571.90"
"23 Aug 2019","14981.40","15164.85","14826.40","15023.55"
"22 Aug 2019","15455.70","15458.40","15061.00","15088.25"
"21 Aug 2019","15654.65","15691.30","15440.55","15475.40"
"20 Aug 2019","15765.65","15787.05","15557.75","15638.45"
"19 Aug 2019","15824.25","15934.75","15743.70","15777.25"
"16 Aug 2019","15561.45","15782.70","15451.80","15760.55"
"14 Aug 2019","15536.45","15669.40","15453.60","15612.60"
"13 Aug 2019","15820.90","15823.10","15422.15","15447.65"
"09 Aug 2019","15774.40","15954.55","15746.30","15852.75"
"08 Aug 2019","15545.20","15729.65","15328.00","15660.35"
"07 Aug 2019","15601.15","15714.50","15427.05","15462.50"
"06 Aug 2019","15275.40","15651.95","15258.45","15586.25"
"05 Aug 2019","15466.60","15481.55","15213.95","15342.70"
"02 Aug 2019","15610.15","15797.35","15441.25","15636.40"
"01 Aug 2019","15785.50","15903.60","15514.00","15687.40"
"31 Jul 2019","15724.65","15969.35","15686.1","15917.05"
"30 Jul 2019","16232.00","16285.45","15819.55","15852.90"
"29 Jul 2019","16311.35","16319.05","16060.10","16151.30"
"26 Jul 2019","15982.15","16192.15","15937.45","16161.35"
"25 Jul 2019","15904.75","16067.35","15880.95","15963.10"
"24 Jul 2019","16012.90","16106.35","15855.60","15899.80"
"23 Jul 2019","16097.75","16149.90","15973.80","16037.10"
"22 Jul 2019","16213.75","16221.95","16003.55","16061.95"
"19 Jul 2019","16754.60","16771.40","16260.60","16298.35"
"18 Jul 2019","16852.35","16888.75","16678.90","16707.85"
"17 Jul 2019","16902.40","16968.20","16837.25","16891.00"
"16 Jul 2019","16872.00","16892.25","16788.50","16868.25"
"15 Jul 2019","16980.70","16983.20","16763.15","16811.25"
"12 Jul 2019","17039.30","17079.20","16887.05","16913.20"
"11 Jul 2019","16997.65","17047.20","16910.90","16990.15"
"10 Jul 2019","16930.10","17009.25","16865.65","16902.75"
"09 Jul 2019","16899.75","16976.60","16776.60","16902.55"
"08 Jul 2019","17282.80","17293.70","16892.45","16926.30"
"05 Jul 2019","17396.05","17453.60","17287.95","17353.50"
"04 Jul 2019","17379.00","17468.05","17351.45","17377.30"
"03 Jul 2019","17299.30","17386.35","17242.90","17330.90"
"02 Jul 2019","17386.45","17393.95","17189.10","17259.50"
"01 Jul 2019","17294.10","17410.95","17290.40","17358.90"
"28 Jun 2019","17324.55","17340.30","17163.10","17197.00"
"27 Jun 2019","17272.45","17441.40","17252.85","17314.35"
"26 Jun 2019","17065.35","17279.70","17040.90","17253.40"
"25 Jun 2019","16929.20","17125.55","16862.70","17084.30"
"24 Jun 2019","17026.90","17066.20","16913.95","16951.90"
"21 Jun 2019","17121.10","17121.10","16941.40","16984.20"
"20 Jun 2019","16849.90","17125.75","16768.45","17101.40"
"19 Jun 2019","16950.75","17052.20","16793.00","16846.85"
"18 Jun 2019","16858.45","16985.90","16783.55","16854.70"
"17 Jun 2019","17034.75","17062.70","16808.65","16823.65"
"14 Jun 2019","17256.65","17284.85","16952.10","17009.00"
"13 Jun 2019","17228.95","17280.20","17066.30","17243.25"
"12 Jun 2019","17450.10","17453.90","17272.90","17300.90"
"11 Jun 2019","17422.85","17561.20","17313.80","17479.85"
"10 Jun 2019","17461.95","17532.15","17242.60","17343.30"
"07 Jun 2019","17320.25","17409.65","17108.00","17368.70"
"06 Jun 2019","17639.40","17647.45","17231.00","17261.35"
"04 Jun 2019","17620.20","17763.95","17613.25","17665.20"
"03 Jun 2019","17538.85","17700.80","17464.75","17689.20"
"31 May 2019","17691.85","17750.40","17108.40","17522.20"
"30 May 2019","17462.05","17676.70","17452.55","17611.95"
"29 May 2019","17547.05","17594.30","17470.20","17493.35"
"28 May 2019","17673.50","17691.95","17463.65","17617.60"
